id,category,product_name_spec
1,Consoles,"Combo Volante, Pedais e Cambio Logitech G29 SE Driving Force para PS5, PS4, PS3 e PC"
2,Consoles,"Volante Logitech G923 para PS5, PS4 e PC com Force Feedback TRUEFORCE, Pedais Responsivos, Launch Control e Acabamento em Couro"
3,Consoles,"Volante Logitech G PRO WHEEL Com Direct Drive 11 Nm, Feedback TRUEFORCE, Ultrarrealista, Dupla embreagem, Compatâ”œÂ¡vel PS4, PS5 e PC"
4,Consoles,PlayStationâ”¬Â«5 Slim Digital 825GB Ã”Ã‡Ã´ Pacote ASTRO BOT e Gran Turismo 7
5,Consoles,PlayStationâ”¬Â«5 Slim Disk - Pacote ASTRO BOT e Gran Turismo 7
6,Consoles,PlayStationâ”¬Â«5 Slim Ediâ”œÂºâ”œÃºo Digital com 2 Jogos
7,Consoles,Pack do console PlayStationâ”¬Â«5 Ã”Ã‡Ã´ Ediâ”œÂºâ”œÃºo Limitada Ouro - Ghost of Yâ”¼Ã¬tei
8,Consoles,PlayStationâ”¬Â«5 Slim Ediâ”œÂºâ”œÃºo Digital
9,Consoles,PlayStationâ”¬Â«5 Slim Disk + 2 Jogos
10,Consoles,PlayStationâ”¬Â«5 Slim Digital -Pacote ASTRO BOT e Gran Turismo 7
11,Consoles,Console PS5 c/Drive Slim 1 TB c/ 1 Controle + EA FC 26
12,Consoles,Console PlayStationâ”¬Â«5 + Marvel's Spider-Man 2
13,Consoles,Console PlayStation 5 - Digital Edition
14,Consoles,Console PlayStation 5 - Digital Edition
15,Consoles,Console PlayStation 5
16,Consoles,Console Playstation 5 Slim Disk + Controle DualSense lacrado
17,Consoles,PlayStationâ”¬Â«5 + God of War Ragnarâ”œÃ‚k
18,Consoles,Sony PlayStation 5 Slim 1TB Spider-Man 2
19,Consoles,PlayStation 5 Slim Digital Edition Console + Blue Controller Bundle (KSA version)
20,Consoles,Mega Man Star Force Legacy Collection - PlayStation 5
21,Consoles,"Volante Logitech G29 Driving Force para PS5, PS4, PS3 e PC - 941-000111"
22,Consoles,"PowerA USB-C Cable for PlayStation 5, cable, USB-C, PS5"
23,Consoles,Stea PlayStationâ”¬Â«5 console (slim)
24,Consoles,PlayStation Sony 5 Slim Disc Edition DualSense Wireless Controller Double Pack (2023) - KSA Version Brand: Sony Interactive Entertainment
25,Consoles,PlayStation 5 Standard (Slim)
26,Consoles,Console PlayStation 5
27,Consoles,PlayStation 5 Pro
28,Consoles,Console PlayStationâ”¬Â«5 Pro
29,Consoles,Sony PlayStation 5 Slim Digital Console 825GB - International Version
30,Consoles,PlayStation Sony 5 Slim Disc Edition DualSense Wireless Controller Double Pack PS5 - KSA Version White and Black Controllers
31,Consoles,Console PlayStation 5 - Digital Edition
32,Consoles,PlayStation 5 Console [videogame]
33,Consoles,Console PlayStationâ”¬Â« 5 + EA SPORTS FCÃ”Ã¤Ã³ 24
34,Consoles,"PlayStation 5 Slim Ultra HD Blu-ray Disc Drive, Black [video game]"
35,Consoles,"PlayStation 5 Disc Console (New 2023 Slim Model)- UAE Version, 1 Year Manufacturer Warranty"
36,Consoles,PlayStation 5 Digital Edition (Slim) - 30th Anniversary Limited Edition Bundle
37,Consoles,PlayStationâ”¬Â«5 Console 1TB - Fortnite Flowering Chaos Bundle
38,Consoles,Unidade de disco para consoles PS5â”¬Â« ediâ”œÂºâ”œÃºo digital (grupo de modelos Ã”Ã‡Ã´ slim) ou PS5â”¬Â« Pro
39,Consoles,PS5 Digital 30th Anniversary Edition
40,Consoles,PlayStation 5 Console CFI-1215A01X
41,Consoles,PlayStation 5 Dual Sense EdgeÃ”Ã¤Ã³ wireless controller (KSA Version)
42,Consoles,PlayStation 5 DualSense Edge Wireless Controller Midnight Black
43,Consoles,PRAGMATA - PlayStation 5
44,Consoles,"Seagate Unidade de estado sâ”œâ”‚lido FireCuda 530 1TB - M.2 PCIe Gen4 â”œÃ¹ 4 NVMe 1.4, SSD interno PS5, velocidades de atâ”œÂ® 7300MB/s, 3D TLC NAND, 1275 TBW, 1,8M MTBF, dissipador de calor, serviâ”œÂºos de resgate (ZP1000GM3A023)"
45,Consoles,"Sony Gran Turismo 7 PS5, Black"
46,Consoles,"Playstation 5 DualSense Wireless Controller (KSA Version) Ghost of Yotei Gold Limited Edition, 2 Year Manufacturer Warranty"
47,Consoles,Controle DualSense - PlayStation 5
48,Consoles,Resident Evil Requiem - PlayStation 5
49,Consoles,Sony PlayStation 5 - Mando Inalâ”œÃ­mbrico DualSense Ediciâ”œâ”‚n Especial Limitada The Last of Us
50,Consoles,Fone de Ouvido Headset Gamer Jogos RGB Para PS3/PS4/PS5/XBOX/PC Aoc ACG2510
51,Consoles,"Suporte para PS5 Pro e PS5 Slim de Mesa Vertical, Base de Apoio para Play 5, Compatâ”œÂ¡vel com PlayStation 5, Organizador Estâ”œÃ­vel para Console em Pâ”œÂ®, (Suporte PS5 Slim)"
52,Consoles,"Headset Gamer Sem Fio Logitech G PRO X 2 LIGHTSPEED Com Microfone Removâ”œÂ¡vel, Drivers de Grafeno 50mm, Conexâ”œÃºo Bluetooth, USB e 3,5 mm, Compatâ”œÂ¡vel com PC, PS5, PS4, Switch - Rosa Magenta"
53,Consoles,"Headset Gamer Sem Fio Logitech G435 LIGHTSPEED, Conexâ”œÃºo USB e Bluetooth, Design Leve e Confortâ”œÃ­vel, Microfone Embutido, Bateria de atâ”œÂ® 18h - Compatâ”œÂ¡vel com Dolby Atmos, PC, PS4, PS5, Mobile Ã”Ã‡Ã´ Preto"
56,Controles,"Controle com fio para jogos de Luta Hori ALPHA para PS4, PS5 e PC Licenciado para consoles Sony"
57,Controles,Base De Carregamento Do Dualsense - PlayStation 5
58,Controles,Controle Xbox Series Elite
59,Acessâ”œâ”‚rios & Hardware,Suporte Vertical Playstation 5 Ps5 Em Metal Antiderrapante
60,Acessâ”œâ”‚rios & Hardware,VR2 Sense PlayStation Sony 4K HDR 3D PS5 Branco CFI-ZVR1WX
61,Acessâ”œâ”‚rios & Hardware,PlayStation Portal Remote Player - PS5
62,Acessâ”œâ”‚rios & Hardware,"Cabo HDMI 2.1, 48Gbps 8K @60Hz 4K cabos de velocidade ultra alta (7680x4320, 4K @120Hz) eARC HDR10 HDCP 2.2 e 2.3 3D, compatâ”œÂ¡vel com PS5/PS4/X-Box/Roku TV/HDTV/Blu-ray/LG (5FT/1,5M)"
63,Acessâ”œâ”‚rios & Hardware,"Cabo HDMI 2.1 8K 10K 4K 48Gbps 3,3FT, cabos HDMI de alta velocidade (8K @60Hz 7680x4320, 4K @120Hz) eARC HDR10 HDCP 2.2 e 2.3 3D, compatâ”œÂ¡vel com PS5/PS4/X-Box/Roku TV/HDTV/Blu-ray/Blu-ray LG/Samsung"
64,Consoles,Xbox Series S - Console 512GB SSD Com Controle Sem Fio
65,Controles,Controle Xbox One sem fio Pulse Red
